id,name,dataset,model_type,past,coupling_layers,test.ROC_AUC,test.RANGE_PR_AUC,test.F1Score_PercentileThresholding(percentile=90),test.AVERAGE_PRECISION,test.FIXED_RANGE_PR_AUC,test.PR_AUC,train.ROC_AUC,train.RANGE_PR_AUC,train.F1Score_PercentileThresholding(percentile=90),train.AVERAGE_PRECISION,train.FIXED_RANGE_PR_AUC,train.PR_AUC
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,deepant,-1,-1,0.5705186533212011,0.0016129032258064,0.0,0.0021141649048625,0.0016129032258064,0.0010570824524312,0.1956323930846224,0.001098901098901,0.0,0.0011299435028248,0.001098901098901,0.0005649717514124
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,deepnap,-1,-1,0.3767060964513193,0.0010660980810234,0.0,0.0014577259475218,0.0010660980810234,0.0007288629737609,0.997270245677889,0.015625,0.018018018018018,0.25,0.015625,0.125
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,encdec_ad,-1,-1,0.8962693357597816,0.0208333333333333,0.0,0.008695652173913,0.0208333333333333,0.0043478260869565,0.1583257506824386,0.0020833333333333,0.0,0.0010799136069114,0.0020833333333333,0.0005399568034557
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,fast_mcd,-1,-1,0.5477707006369427,0.0034722222222222,0.0,0.002008032128514,0.0034722222222222,0.001004016064257,0.5368516833484986,0.000595238095238,0.0,0.0019607843137254,0.000595238095238,0.0009803921568627
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,gdn,-1,-1,0.422509225092251,0.001063829787234,0.0,0.0015948963317384,0.001063829787234,0.0007974481658692,,,0.0,-0.0,,0.5
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,hbos,-1,-1,0.7461328480436761,0.0052083333333333,0.0,0.0035087719298245,0.0052083333333333,0.0017543859649122,0.7147406733393994,0.006578947368421,0.0,0.0030959752321981,0.006578947368421,0.001547987616099
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,health_esn,-1,-1,0.905368516833485,0.0098039215686274,0.018018018018018,0.0095238095238095,0.0098039215686274,0.0047619047619047,0.6951774340309372,0.0015432098765432,0.0,0.0029761904761904,0.0015432098765432,0.0014880952380952
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,hif,-1,-1,0.5423111919927207,0.0017605633802816,0.0,0.0019841269841269,0.0017605633802816,0.0009920634920634,0.6105550500454959,0.0005760368663594,0.0,0.0023310023310023,0.0005760368663594,0.0011655011655011
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,hybrid_knn,-1,-1,0.2979981801637852,0.0083333333333333,0.0,0.001293661060802,0.0083333333333333,0.000646830530401,0.9381255686988172,0.0059523809523809,0.018018018018018,0.0144927536231884,0.0059523809523809,0.0072463768115942
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,if_lof,-1,-1,0.4071883530482256,0.0004545454545454,0.0,0.0009090909090909,0.0004545454545454,0.0004545454545454,0.3989990900818926,0.0004545454545454,0.0,0.0009090909090909,0.0004545454545454,0.0004545454545454
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,iforest,-1,-1,0.5978161965423112,0.0011520737327188,0.0,0.0022573363431151,0.0011520737327188,0.0011286681715575,0.6624203821656051,0.0007062146892655,0.0,0.0026881720430107,0.0007062146892655,0.0013440860215053
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,kmeans,-1,-1,0.8962693357597816,0.0019841269841269,0.0,0.008695652173913,0.0019841269841269,0.0043478260869565,0.9690627843494084,0.0125,0.018018018018018,0.0285714285714285,0.0125,0.0142857142857142
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,knn,-1,-1,0.5868971792538672,0.0009920634920634,0.0,0.0021978021978021,0.0009920634920634,0.001098901098901,0.559599636032757,0.0004638218923933,0.0,0.002061855670103,0.0004638218923933,0.0010309278350515
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,laser_dbn,-1,-1,,0.5004545454545455,0.0,,0.5004545454545455,,0.2989080982711555,0.0005555555555555,0.0,0.0012578616352201,0.0005555555555555,0.00062893081761
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,lstm-vae,-1,-1,,0.5004545454545455,0.0,,0.5004545454545455,,,0.5004545454545455,0.0,,0.5004545454545455,
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,lstm_ad,-1,-1,0.7024567788898999,0.0059523809523809,0.0,0.0030487804878048,0.0059523809523809,0.0015243902439024,0.9717925386715196,0.0104166666666666,0.018018018018018,0.03125,0.0104166666666666,0.015625
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,mstamp,-1,-1,0.978161965423112,0.0166666666666666,0.018018018018018,0.04,0.0166666666666666,0.02,0.3848953594176524,0.0010964912280701,0.0,0.001477104874446,0.0010964912280701,0.000738552437223
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,multi_subsequence_lof,-1,-1,0.1264786169244768,0.0003491620111731,0.0,0.0010405827263267,0.0003491620111731,0.0005202913631633,0.5969062784349408,0.0006105006105006,0.0,0.0022522522522522,0.0006105006105006,0.0011261261261261
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,normalizing_flows,-1,-1,,0.5004545454545455,0.0,,0.5004545454545455,,,0.5004545454545455,0.0,,0.5004545454545455,
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,omni,-1,-1,0.2466666666666667,0.0017857142956927,0.0,0.0012626262626262,0.0017857142956927,0.0006313131313131,0.6714285714285715,0.0005417118081822,0.0,0.0028901734104046,0.0005417118081822,0.0014450867052023
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,pca,-1,-1,0.77024567788899,0.0038461538461538,0.0,0.003875968992248,0.0038461538461538,0.001937984496124,0.2870791628753412,0.00125,0.0,0.0012674271229404,0.00125,0.0006337135614702
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,pcc,-1,-1,0.7734303912647862,0.0042372881355932,0.0,0.004,0.0042372881355932,0.002,0.7998180163785259,0.01,0.0,0.004524886877828,0.01,0.002262443438914
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,random_black_forest,-1,-1,0.9672429481346678,0.0166666666666666,0.018018018018018,0.027027027027027,0.0166666666666666,0.0135135135135135,0.9545040946314832,0.0192307692307692,0.018018018018018,0.0196078431372549,0.0192307692307692,0.0098039215686274
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,robust_pca,-1,-1,0.3430391264786169,0.0061728395061728,0.0,0.0013831258644536,0.0061728395061728,0.0006915629322268,0.9317561419472248,0.0029761904761904,0.018018018018018,0.0131578947368421,0.0029761904761904,0.006578947368421
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,subsequence_knn,-1,-1,0.102820746132848,0.0016556291390728,0.0,0.0010131712259371,0.0016556291390728,0.0005065856129685,0.7761601455868972,0.0041666666666666,0.0,0.0040485829959514,0.0041666666666666,0.0020242914979757
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,tanogan,-1,-1,0.4913557779799818,0.0004545454545454,0.0018165304268846,0.0009090909090909,0.0004545454545454,0.0004545454545454,0.4913557779799818,0.0004545454545454,0.0018165304268846,0.0009090909090909,0.0004545454545454,0.0004545454545454
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,telemanom,-1,-1,0.2247497725204731,0.0066666666666666,0.0,0.0011723329425556,0.0066666666666666,0.0005861664712778,0.9099181073703366,0.0046296296296296,0.018018018018018,0.01,0.0046296296296296,0.005
-,-,2-std_cut_increasing_continue-stdRatio_2-stdPast_10,torsk,-1,-1,0.5,0.5004545454545455,0.0018165304268846,0.0009090909090909,0.5004545454545455,0.5004545454545455,0.5,0.5004545454545455,0.0018165304268846,0.0009090909090909,0.5004545454545455,0.5004545454545455
