id,dataset,model_type,past,coupling_layers,sliding_window,VUS_ROC,AUC_ROC,RANGE_PR_AUC,F,AUC_PR,Precision,Recall,Precision_at_k,Rprecision,Rrecall,RF,R_AUC_ROC,R_AUC_PR,VUS_PR,Affiliation_Precision,Affiliation_Recall
-,2-saw-all-no-anomaly,kmeans,-1,-1,125,0.9278960666657414,0.8826418793158515,0.4921305168844174,0.30769230769230776,0.49655463064373684,0.6896551724137931,0.19801980198019803,0.19801980198019803,0.71875,0.27920792079207923,0.4021826750170522,0.9343237976919693,0.7218319660814496,0.6982700340964144,0.9714795918367347,0.9747772277227723
-,2-saw-all-no-anomaly,omni,-1,-1,125,0.40964373430951806,0.3778125309750108,0.0029464359395205,0.0,0.07546913222908472,0.0,0.0,0.0,0.0,0.0,0.0,0.5126245833230687,0.16716218084117707,0.09195939842879934,0.5301409966024915,0.9999158415841585
-,2-saw-all-no-anomaly,cblof,-1,-1,125,0.9189496516194252,0.9124990363329992,0.6519808061936926,0.46969696969696967,0.8216621250934616,1.0,0.3069306930693069,0.3069306930693069,1.0,0.44554455445544555,0.6164383561643836,0.9141472473108757,0.7555840583739353,0.7847858161848472,1.0,0.9646361386138613
-,2-saw-all,hybrid_knn,-1,-1,125,0.2958455532810651,0.22218306369012875,0.4189999233546316,0.0,0.061188168343623416,0.0,0.0,0.0,0.0,0.0,0.0,0.34151207845465514,0.08896205313041462,0.07498560276678014,0.481339423076923,0.9667128712871288
-,2-saw-all,subsequence_knn,-1,-1,125,0.9378794376298771,0.9512714897741164,0.9305652596887828,0.7682926829268292,0.9399317479110219,1.0,0.6237623762376238,0.6237623762376238,1.0,0.699009900990099,0.8228438228438228,0.9091903616911452,0.8058949146710066,0.8691591908042166,1.0,0.9967920792079208
-,2-saw-all,pca,-1,-1,125,0.9795889351460708,0.9891628762431304,0.8133286570247238,0.421875,0.9255158345504879,1.0,0.26732673267326734,0.26732673267326734,1.0,0.4138613861386139,0.5854341736694678,0.9633609883773309,0.8421177605352022,0.8876008438183557,1.0,0.9695742574257425
-,2-saw-all,health_esn,-1,-1,125,0.8167293622747356,0.8446568794810516,0.2379450108390809,0.192,0.3196869309902361,0.5,0.1188118811881188,0.1188118811881188,0.2222222222222222,0.24752475247524752,0.23419203747072598,0.781618654132795,0.29791349116566257,0.3068661056956362,0.7729285714285714,0.941131188118812
-,2-saw-all,fast_mcd,-1,-1,125,0.9785345722216499,0.9832817542043415,0.7242937385660572,0.46969696969696967,0.8329504287534878,1.0,0.3069306930693069,0.3069306930693069,1.0,0.44554455445544555,0.6164383561643836,0.9713723448201027,0.795543319305507,0.81581208921117,1.0,0.9646361386138613
-,2-saw-all,autoencoder,-1,-1,125,0.9724713761843163,0.9859800218064075,0.7633118669009759,0.46969696969696967,0.8747557242418265,1.0,0.3069306930693069,0.3069306930693069,1.0,0.44554455445544555,0.6164383561643836,0.9519725216813073,0.7863707572481995,0.8310820430611244,1.0,0.9646361386138613
-,2-saw-all,robust_pca,-1,-1,125,0.6167376102488774,0.4847520347140387,0.1358492607084908,0.0,0.09391071353002667,0.0,0.0,0.0,0.0,0.0,0.0,0.6667129188250617,0.17667934307545063,0.1495916456270891,0.5215534351145038,0.9790841584158415
-,2-saw-all,encdec_ad,-1,-1,125,0.6303285867637664,0.6075617572880758,0.1109028997477187,0.0,0.12794967315481373,0.0,0.0,0.0,0.0,0.0,0.0,0.654769047645817,0.16596407136402347,0.1432509964232927,0.5263504901960785,0.9759826732673268
-,2-saw-all,knn,-1,-1,125,0.9591871241676019,0.974382977786099,0.759911199992547,0.46969696969696967,0.8916146441201787,1.0,0.3069306930693069,0.3069306930693069,1.0,0.44554455445544555,0.6164383561643836,0.949133250539276,0.8034494133555228,0.8406813354270054,1.0,0.9646361386138613
-,2-saw-all,hif,-1,-1,125,0.896549380653978,0.9144924503573827,0.3122534760610003,0.36220472440944884,0.5615669953728928,0.8846153846153846,0.22772277227722773,0.22772277227722773,0.75,0.2607260726072608,0.38693877551020417,0.8522514472543996,0.5159034021813329,0.5495004847190252,0.6768821138211383,0.9868762376237623
-,2-saw-all,multi_subsequence_lof,-1,-1,125,0.9445211020139104,0.9646582010815097,0.9227460739186982,0.7682926829268292,0.9500526138358025,1.0,0.6237623762376238,0.6237623762376238,1.0,0.699009900990099,0.8228438228438228,0.8979993387425477,0.8145757544439587,0.8860671214722051,1.0,0.9933069306930693
